name,desc,price,img_url,category
Trà Ô Long Mãng Cầu Jelly Dừa Sợi,,65.000 đ,https://phuclong.com.vn/uploads/dish/cef6d3083f2459-tralaimangcau.png,Trà trái cây
Trà Lài Mãng Cầu Đá Xay,BST Cầu Phúc Đong Đầy - Long Niên May Mắn,65.000 đ,https://phuclong.com.vn/uploads/dish/6a3bbf6dac792d-mangcaudaxay.png,Đá xay
Trà Sữa Mãng Cầu Jelly Dừa Sợi,BST Cầu Phúc Đong Đầy - Long Niên May Mắn,65.000 đ,https://phuclong.com.vn/uploads/dish/4ce1825cbd1978-trasuamc.png,Trà sữa
Trà Lucky,Lucky Tea,50.000 đ,https://phuclong.com.vn/uploads/dish/f48194a2a92877-luckytea.png,Trà trái cây
Hồng Trà Chanh,Lime Black Tea,40.000 đ,https://phuclong.com.vn/uploads/dish/4d247cffb2c4d5-hngtrchanh.png,Trà trái cây
Trà Sữa Matcha,Matcha Milk Tea,45.000 đ,https://phuclong.com.vn/uploads/dish/d1cd8bafdefe9d-matchalattephclong.png,Trà sữa
Hồng Trà Đào Sữa,Peach Black Milk Tea,55.000 đ,https://phuclong.com.vn/uploads/dish/a75db2931ab34c-hngtrsaphclongtrosaphclong.png,Trà sữa
Chanh Đá Xay,Lime Ice Blended,50.000 đ,https://phuclong.com.vn/uploads/dish/64bd44180be24c-sinhtchanh.png,Đá xay
Matcha Đá Xay,Matcha Ice Blended,60.000 đ,https://phuclong.com.vn/uploads/dish/5db8d7830383fe-trxanhxay.png,Đá xay
Oreo Capuchino Đá Xay,Oreo Espresso Ice Blended,65.000 đ,https://phuclong.com.vn/uploads/dish/72781119ecd681-sclaxaycnghnhnhnvespresso.png,Đá xay
Capuchino Đá Xay,Espresso Ice Blended,60.000 đ,https://phuclong.com.vn/uploads/dish/d12b476cb8261d-cphcappuccinoxay.png,Đá xay
Sữa Chua Phúc Bồn Tử Đác Cam,Raspberry Yogurt with Orange Dac Seed,70.000 đ,https://phuclong.com.vn/uploads/dish/4136b3715bff3e-sachuaphcbntccamphclong.png,Đá xay
Sữa Chua Xoài Đác Thơm,Mango Yogurt with Pineapple Dac Seed,70.000 đ,https://phuclong.com.vn/uploads/dish/65a7d028c2229d-sachuaxoicthmphclong.png,Đá xay
Cappuccino,,45.000 đ,https://phuclong.com.vn/uploads/dish/90405a9f256f11-cafe5mon04.png,Cà phê
Hồng Trà Đác Cam Đá Xay,Orange Dac Seed Black Tea Ice Blended,70.000 đ,https://phuclong.com.vn/uploads/dish/dae727e03e8092-daccam.png,Đá xay
Latte,,45.000 đ,https://phuclong.com.vn/uploads/dish/8a92bb4b37c012-cafe5mon01.png,Cà phê
Cà Phê Sữa,,35.000 đ,https://phuclong.com.vn/uploads/dish/8ebb07f0eeccc1-resize_damdadunggu07.png,Cà phê
Cà Phê Đen,,30.000 đ,https://phuclong.com.vn/uploads/dish/4521f4c77fc38a-cf67efb06d5aa504fc4b.png,Cà phê
Trà Lài Đác Thơm,Pineapple Dac Seed Jasmine Tea,50.000 đ,https://phuclong.com.vn/uploads/dish/b8f1dd4d4f583c-dacthom.png,Trà trái cây
Trà Nhãn Sen,Longan Lotus Tea,50.000 đ,https://phuclong.com.vn/uploads/dish/7c8006f72742d8-trnhnphclong.png,Trà trái cây
Bạc Xỉu,Bạc Xỉu,40.000 đ,https://phuclong.com.vn/uploads/dish/24d0961b7dba35-chocolatephclong.png,Cà phê
Trà Vải Lài,Lychee Jasmine Tea,50.000 đ,https://phuclong.com.vn/uploads/dish/063555c21c4206-trviliphclong.png,Trà trái cây
Hồng Trà Sữa,Black Milk Tea,45.000 đ,https://phuclong.com.vn/uploads/dish/3c2d50a2c26783-hngtrsaphclongtrosaphclong.png,Trà sữa
Hồng Trà Đào,Peach Black Tea,55.000 đ,https://phuclong.com.vn/uploads/dish/3937476a64a213-trophclong.png,Trà trái cây
Trà Sữa Phúc Long,Phuc Long Milk Tea,45.000 đ,https://phuclong.com.vn/uploads/dish/ad7f4b76f4b694-trsaphclongtrlongsaphclong.png,Trà sữa
Trà Ô Long Dâu,Strawberry Oolong Tea,50.000 đ,https://phuclong.com.vn/uploads/dish/5318362664d05b-trlongdu.png,Trà trái cây
Nhãn Đá Xay,,60.000 đ,https://phuclong.com.vn/uploads/dish/37702760a2b2e3-65000309nhnxay.png,Đá xay
Trà Sữa Ô Long,Oolong Milk Tea,45.000 đ,https://phuclong.com.vn/uploads/dish/6242c5934eefec-trsaphclongtrlongsaphclong.png,Trà sữa
Trà Sữa Nhãn Sen,,55.000 đ,https://phuclong.com.vn/uploads/dish/e3a453a57402ee-65000307trsanhnsen.png,Trà sữa
